seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(20245,0,2,0)	0	0	649	976
(20245,0,4,0)	0	0	578	880
(20245,0,44,0)	0	0	850	894
(20245,0,63,0)	0	0	737	953
(20245,1,40,0)	0	0	896	988
(20245,1,51,0)	0	0	872	963
(20245,1,61,0)	0	0	326	819
(20245,1,81,0)	0	0	949	935
(20245,1,188,0)	0	0	827	910
(20246,0,39,0)	0	0	689	970
(20246,0,162,0)	0	0	566	877
(20246,0,165,0)	0	0	617	949
(20246,1,52,0)	0	0	729	967
(20246,1,53,0)	0	0	694	969
(20246,1,70,0)	0	0	979	1000
(20246,1,73,0)	0	0	665	925
(20246,1,106,0)	0	0	738	973
(20246,1,169,0)	0	0	838	981
(20247,0,118,0)	0	0	870	922
(20247,0,128,0)	0	0	976	989
(20247,0,129,0)	0	0	704	894
(20247,0,145,0)	0	0	647	974
(20247,1,33,0)	0	0	534	893
(20247,1,134,0)	0	0	783	911
(20247,1,135,0)	0	0	900	992
(20247,1,179,0)	0	0	540	885
(20247,1,195,0)	0	0	844	918
(20248,1,33,0)	0	0	534	922
(20248,1,37,0)	0	0	754	965
(20248,1,85,0)	0	0	871	999
(20248,1,113,0)	0	0	993	994
(20248,1,143,0)	0	0	801	964
(20248,1,176,0)	0	0	688	952
(20248,1,181,0)	0	0	985	999
(20249,0,114,0)	0	0	606	961
(20249,0,204,0)	0	0	891	960
(20249,1,59,0)	0	0	753	887
(20249,1,74,0)	0	0	598	762
(20249,1,86,0)	0	0	865	936
(20249,1,138,0)	0	0	570	914
(20249,1,144,0)	0	0	726	952
(20249,1,186,0)	0	0	740	947
(20250,0,179,0)	0	0	832	947
(20250,1,58,0)	0	0	359	859
(20250,1,61,0)	0	0	900	967
(20250,1,80,0)	0	0	593	885
(20250,1,107,0)	0	0	616	889
(20251,0,67,0)	0	0	807	939
(20251,0,87,0)	0	0	856	964
(20251,0,116,0)	0	0	570	945
(20251,0,130,0)	0	0	891	998
(20251,1,0,0)	0	0	929	984
(20251,1,28,0)	0	0	870	987
(20251,1,34,0)	0	0	800	971
(20251,1,42,0)	0	0	691	937
(20251,1,53,0)	0	0	988	974
(20251,1,54,0)	0	0	383	937
(20251,1,129,0)	0	0	942	973
(20251,1,134,0)	0	0	757	930
(20251,1,168,0)	0	0	619	966
(20251,1,180,0)	0	0	791	962
(20251,1,199,0)	0	0	658	975
(20251,1,202,0)	0	0	988	1000
(20252,0,7,0)	0	0	837	960
(20252,0,99,0)	0	0	546	962
(20252,0,100,0)	0	0	791	968
(20252,0,127,0)	0	0	843	986
(20252,0,167,0)	0	0	870	966
(20252,1,139,0)	0	0	855	977
(20252,1,157,0)	0	0	948	934
(20252,1,187,0)	0	0	900	996
(20253,0,104,0)	0	0	914	958
(20253,0,120,0)	0	0	850	996
(20253,0,154,0)	0	0	841	984
(20253,1,20,0)	0	0	863	926
(20253,1,37,0)	0	0	872	997
(20253,1,44,0)	0	0	503	956
(20253,1,69,0)	0	0	808	955
(20253,1,86,0)	0	0	933	988
(20253,1,90,0)	0	0	934	1000
(20253,1,137,0)	0	0	822	894
(20253,1,145,0)	0	0	906	946
(20253,1,171,0)	0	0	769	920
(20254,0,86,0)	0	0	902	978
(20254,1,36,0)	0	0	917	980
(20254,1,61,0)	0	0	901	993
(20254,1,71,0)	0	0	941	931
(20254,1,141,0)	0	0	340	881
(20254,1,147,0)	0	0	497	927
(20254,1,162,0)	0	0	569	960
(20254,1,163,0)	0	0	459	845
(20255,0,139,0)	0	0	472	828
(20255,0,156,0)	0	0	594	975
(20255,1,62,0)	0	0	776	989
(20255,1,63,0)	0	0	498	891
(20255,1,79,0)	0	0	634	919
(20255,1,127,0)	0	0	892	986
(20255,1,191,0)	0	0	660	912
(20255,1,192,0)	0	0	730	963
(20256,1,3,0)	0	0	788	964
(20256,1,8,0)	0	0	713	924
(20256,1,26,0)	0	0	921	978
(20256,1,81,0)	0	0	791	945
(20256,1,91,0)	0	0	911	993
(20256,1,198,0)	0	0	797	962
(20257,0,113,0)	0	0	810	922
(20257,0,187,0)	0	0	319	648
(20257,1,26,0)	0	0	570	964
(20257,1,34,0)	0	0	913	995
(20257,1,89,0)	0	0	707	884
(20257,1,103,0)	0	0	309	838
(20257,1,176,0)	0	0	375	824
(20257,1,184,0)	0	0	790	941
(20258,0,54,0)	0	0	528	864
(20258,0,87,0)	0	0	782	900
(20258,1,71,0)	0	0	532	836
(20258,1,102,0)	0	0	911	979
(20258,1,115,0)	0	0	489	898
(20258,1,123,0)	0	0	923	983
(20258,1,152,0)	0	0	890	907
(20258,1,162,0)	0	0	676	941
(20259,1,35,0)	0	0	746	911
(20259,1,46,0)	0	0	999	983
(20259,1,49,0)	0	0	653	874
(20259,1,88,0)	0	0	777	960
(20259,1,102,0)	0	0	703	939
(20259,1,173,0)	0	0	594	973
(20259,1,187,0)	0	0	883	973
(20259,1,195,0)	0	0	911	986
(20260,0,152,0)	0	0	739	912
(20260,1,8,0)	0	0	599	970
(20260,1,31,0)	0	0	775	931
(20260,1,53,0)	0	0	674	973
(20260,1,59,0)	0	0	901	968
(20260,1,79,0)	0	0	588	816
(20260,1,104,0)	0	0	862	955
(20260,1,148,0)	0	0	786	908
(20260,1,180,0)	0	0	726	952
(20261,1,2,0)	0	0	695	895
(20261,1,53,0)	0	0	661	917
(20261,1,58,0)	0	0	964	988
(20261,1,97,0)	0	0	399	897
(20261,1,107,0)	0	0	724	961
(20261,1,123,0)	0	0	566	852
(20261,1,150,0)	0	0	956	940
(20262,0,198,0)	0	0	829	936
(20262,1,23,0)	0	0	558	883
(20262,1,31,0)	0	0	583	858
(20262,1,69,0)	0	0	870	919
(20262,1,86,0)	0	0	685	940
(20262,1,110,0)	0	0	576	901
(20262,1,123,0)	0	0	888	981
(20262,1,144,0)	0	0	791	968
(20262,1,171,0)	0	0	523	900
(20263,0,82,0)	0	0	599	825
(20263,0,160,0)	0	0	667	857
(20263,0,183,0)	0	0	986	984
(20263,1,27,0)	0	0	915	976
(20263,1,96,0)	0	0	669	958
(20263,1,104,0)	0	0	709	936
(20263,1,113,0)	0	0	652	904
(20263,1,127,0)	0	0	818	960
(20263,1,169,0)	0	0	617	867
(20263,1,170,0)	0	0	565	942
(20263,1,174,0)	0	0	838	934
(20264,0,155,0)	0	0	876	986
(20264,1,22,0)	0	0	731	911
(20264,1,44,0)	0	0	499	872
(20264,1,123,0)	0	0	929	994
(20264,1,173,0)	0	0	960	980
(20265,0,11,0)	0	0	548	888
(20265,0,16,0)	0	0	914	962
(20265,0,35,0)	0	0	951	975
(20265,0,49,0)	0	0	453	907
(20265,0,163,0)	0	0	888	991
(20265,0,181,0)	0	0	893	957
(20265,1,23,0)	0	0	402	866
(20265,1,61,0)	0	0	481	783
(20265,1,84,0)	0	0	847	978
(20265,1,94,0)	0	0	984	989
(20265,1,127,0)	0	0	966	999
(20265,1,162,0)	0	0	526	820
(20266,0,41,0)	0	0	906	976
(20266,0,189,0)	0	0	845	965
(20266,1,11,0)	0	0	714	943
(20266,1,12,0)	0	0	833	983
(20266,1,32,0)	0	0	793	864
(20266,1,61,0)	0	0	926	958
(20266,1,67,0)	0	0	516	870
(20266,1,85,0)	0	0	323	780
(20266,1,92,0)	0	0	602	786
(20267,0,86,0)	0	0	352	841
(20267,0,135,0)	0	0	808	967
(20267,0,141,0)	0	0	701	927
(20267,1,33,0)	0	0	616	874
(20267,1,60,0)	0	0	774	964
(20267,1,80,0)	0	0	720	917
(20267,1,83,0)	0	0	837	906
(20267,1,85,0)	0	0	818	944
(20267,1,102,0)	0	0	546	916
(20267,1,124,0)	0	0	903	956
(20267,1,142,0)	0	0	776	990
(20267,1,152,0)	0	0	781	981
(20267,1,172,0)	0	0	828	938
(20268,0,6,0)	0	0	989	999
(20268,1,23,0)	0	0	738	854
(20268,1,49,0)	0	0	740	954
(20268,1,98,0)	0	0	603	864
(20268,1,106,0)	0	0	999	990
(20268,1,147,0)	0	0	996	892
(20269,0,120,0)	0	0	919	991
(20269,0,181,0)	0	0	727	925
(20269,1,31,0)	0	0	899	982
(20269,1,43,0)	0	0	727	880
(20269,1,79,0)	0	0	874	994
(20269,1,129,0)	0	0	447	690
(20269,1,142,0)	0	0	935	991
(20269,1,179,0)	0	0	964	1000
(20269,1,191,0)	0	0	896	977
(20269,1,202,0)	0	0	618	926
(20270,0,11,0)	0	0	950	976
(20270,0,19,0)	0	0	493	925
(20270,0,25,0)	0	0	747	992
(20270,0,71,0)	0	0	365	679
(20270,0,113,0)	0	0	423	799
(20270,1,9,0)	0	0	596	861
(20270,1,13,0)	0	0	781	923
(20270,1,150,0)	0	0	797	962
(20270,1,158,0)	0	0	673	946
(20270,1,166,0)	0	0	984	1000
(20270,1,171,0)	0	0	932	998
(20270,1,199,0)	0	0	914	975
(20271,0,29,0)	0	0	84	250
(20271,0,175,0)	0	0	700	951
(20271,1,25,0)	0	0	892	986
(20271,1,40,0)	0	0	885	896
(20271,1,49,0)	0	0	902	911
(20271,1,128,0)	0	0	921	995
(20271,1,175,0)	0	0	816	917
(20271,1,182,0)	0	0	748	880
(20272,0,51,0)	0	0	924	1000
(20272,1,194,0)	0	0	882	974
(20273,1,14,0)	0	0	946	995
(20273,1,66,0)	0	0	920	971
(20273,1,77,0)	0	0	956	1000
(20273,1,110,0)	0	0	696	871
(20273,1,140,0)	0	0	725	958
(20273,1,174,0)	0	0	942	997
(20274,0,44,0)	0	0	825	997
(20274,0,60,0)	0	0	785	954
(20274,0,140,0)	0	0	852	926
(20274,1,21,0)	0	0	979	935
(20274,1,24,0)	0	0	846	986
(20274,1,47,0)	0	0	673	902
(20274,1,93,0)	0	0	948	997
(20274,1,97,0)	0	0	817	949
(20274,1,156,0)	0	0	690	891
(20274,1,164,0)	0	0	916	992
(20275,0,25,0)	0	0	735	978
(20275,0,119,0)	0	0	733	916
(20275,0,120,0)	0	0	888	972
(20275,0,202,0)	0	0	604	874
(20275,1,6,0)	0	0	555	845
(20275,1,46,0)	0	0	727	858
(20275,1,54,0)	0	0	955	998
(20275,1,108,0)	0	0	634	934
(20275,1,144,0)	0	0	951	997
(20275,1,167,0)	0	0	753	957
(20275,1,170,0)	0	0	963	975
(20275,1,188,0)	0	0	730	918
(20276,0,9,0)	0	0	582	951
(20276,0,61,0)	0	0	798	966
(20276,0,172,0)	0	0	953	997
(20276,0,174,0)	0	0	771	894
(20276,0,184,0)	0	0	985	1000
(20276,1,87,0)	0	0	887	978
(20276,1,107,0)	0	0	586	927
(20276,1,199,0)	0	0	669	927
(20277,0,128,0)	0	0	707	916
(20277,0,141,0)	0	0	627	954
(20277,1,1,0)	0	0	795	980
(20277,1,29,0)	0	0	715	930
(20277,1,34,0)	0	0	981	1000
(20277,1,44,0)	0	0	856	969
(20277,1,98,0)	0	0	628	966
(20277,1,155,0)	0	0	696	947
(20277,1,157,0)	0	0	796	861
(20277,1,185,0)	0	0	788	971
(20277,1,191,0)	0	0	799	950
(20278,0,114,0)	0	0	837	955
(20278,1,18,0)	0	0	682	808
(20278,1,42,0)	0	0	813	991
(20278,1,71,0)	0	0	538	864
(20278,1,127,0)	0	0	957	1000
(20278,1,150,0)	0	0	839	986
(20278,1,163,0)	0	0	901	976
(20278,1,166,0)	0	0	811	963
(20278,1,172,0)	0	0	996	997
(20278,1,193,0)	0	0	906	982
(20279,1,3,0)	0	0	967	998
(20279,1,13,0)	0	0	402	801
(20279,1,29,0)	0	0	772	990
(20279,1,35,0)	0	0	717	934
(20279,1,45,0)	0	0	901	986
(20279,1,59,0)	0	0	779	920
(20279,1,129,0)	0	0	1000	998
(20279,1,151,0)	0	0	960	999
(20279,1,162,0)	0	0	550	965
(20279,1,163,0)	0	0	730	945
(20279,1,233,0)	0	0	947	926
(20280,0,45,0)	0	0	781	976
(20280,0,48,0)	0	0	938	991
(20280,0,173,0)	0	0	747	933
(20280,1,16,0)	0	0	896	981
(20280,1,109,0)	0	0	886	952
(20280,1,143,0)	0	0	767	940
(20280,1,163,0)	0	0	709	963
(20280,1,172,0)	0	0	710	988
(20281,0,76,0)	0	0	916	998
(20281,0,95,0)	0	0	516	875
(20281,1,31,0)	0	0	528	680
(20281,1,134,0)	0	0	663	926
(20281,1,166,0)	0	0	681	956
(20281,1,205,0)	0	0	685	939
(20282,0,42,0)	0	0	611	881
(20282,0,105,0)	0	0	775	933
(20282,1,124,0)	0	0	609	926
(20282,1,150,0)	0	0	862	966
(20282,1,179,0)	0	0	808	943
(20282,1,196,0)	0	0	926	935
(20282,1,200,0)	0	0	630	966
(20283,0,95,0)	0	0	871	986
(20283,0,153,0)	0	0	533	930
(20283,1,26,0)	0	0	757	970
(20283,1,49,0)	0	0	940	974
(20283,1,71,0)	0	0	805	970
(20283,1,83,0)	0	0	631	970
(20283,1,86,0)	0	0	491	774
(20283,1,88,0)	0	0	618	890
(20283,1,103,0)	0	0	710	918
(20283,1,166,0)	0	0	951	994
(20283,1,193,0)	0	0	653	880
(20284,0,128,0)	0	0	895	958
(20284,0,159,0)	0	0	609	886
(20284,1,70,0)	0	0	828	993
(20284,1,110,0)	0	0	644	812
(20284,1,136,0)	0	0	454	837
(20284,1,139,0)	0	0	946	990
(20285,0,57,0)	0	0	661	817
(20285,0,123,0)	0	0	461	895
(20285,1,62,0)	0	0	724	911
(20285,1,108,0)	0	0	803	982
(20285,1,160,0)	0	0	685	944
(20286,0,50,0)	0	0	970	984
(20286,0,110,0)	0	0	555	942
(20286,0,148,0)	0	0	548	881
(20286,1,9,0)	0	0	697	928
(20286,1,71,0)	0	0	528	910
(20286,1,120,0)	0	0	889	989
(20286,1,129,0)	0	0	644	976
(20286,1,143,0)	0	0	742	996
(20286,1,173,0)	0	0	739	926
(20286,1,176,0)	0	0	830	970
(20286,1,181,0)	0	0	553	983
(20287,0,20,0)	0	0	678	925
(20287,0,63,0)	0	0	611	806
(20287,0,64,0)	0	0	983	997
(20287,0,137,0)	0	0	625	982
(20287,1,15,0)	0	0	684	884
(20287,1,46,0)	0	0	853	960
(20287,1,73,0)	0	0	781	895
(20287,1,77,0)	0	0	516	963
(20287,1,180,0)	0	0	772	920
(20288,0,16,0)	0	0	695	916
(20288,1,3,0)	0	0	699	904
(20288,1,14,0)	0	0	551	921
(20288,1,64,0)	0	0	727	869
(20289,0,70,0)	0	0	722	915
(20289,1,12,0)	0	0	726	925
(20289,1,55,0)	0	0	712	905
(20289,1,72,0)	0	0	883	971
(20289,1,137,0)	0	0	655	919
(20290,0,76,0)	0	0	511	878
(20290,0,79,0)	0	0	775	985
(20290,0,162,0)	0	0	598	953
(20290,1,10,0)	0	0	397	823
(20290,1,21,0)	0	0	612	891
(20290,1,53,0)	0	0	538	768
(20290,1,70,0)	0	0	953	978
(20290,1,89,0)	0	0	662	944
(20290,1,120,0)	0	0	837	947
(20290,1,148,0)	0	0	684	968
(20290,1,188,0)	0	0	414	822
(20291,0,19,0)	0	0	326	744
(20291,0,92,0)	0	0	941	999
(20291,0,158,0)	0	0	330	878
(20291,0,173,0)	0	0	796	888
(20291,1,0,0)	0	0	886	989
(20291,1,26,0)	0	0	529	844
(20291,1,39,0)	0	0	760	934
(20291,1,43,0)	0	0	799	928
(20291,1,54,0)	0	0	650	903
(20291,1,58,0)	0	0	439	888
(20291,1,73,0)	0	0	590	936
(20291,1,101,0)	0	0	907	972
(20291,1,107,0)	0	0	782	991
(20291,1,109,0)	0	0	801	989
(20292,0,19,0)	0	0	550	972
(20292,0,39,0)	0	0	793	947
(20292,1,7,0)	0	0	533	948
(20292,1,62,0)	0	0	791	968
(20292,1,72,0)	0	0	489	928
(20292,1,143,0)	0	0	513	947
(20292,1,155,0)	0	0	617	955
(20293,0,68,0)	0	0	929	984
(20293,1,18,0)	0	0	343	780
(20293,1,36,0)	0	0	760	960
(20293,1,54,0)	0	0	503	854
(20293,1,124,0)	0	0	710	931
(20293,1,131,0)	0	0	799	989
(20293,1,158,0)	0	0	763	935
(20294,0,41,0)	0	0	748	898
(20294,0,58,0)	0	0	692	795
(20294,0,166,0)	0	0	767	991
(20294,0,178,0)	0	0	579	947
(20294,1,54,0)	0	0	914	961
(20294,1,124,0)	0	0	861	976
(20294,1,150,0)	0	0	659	888
(20294,1,152,0)	0	0	744	963
(20294,1,168,0)	0	0	904	925
(20294,1,174,0)	0	0	729	926
(20295,0,26,0)	0	0	975	950
(20295,0,79,0)	0	0	515	906
(20295,0,93,0)	0	0	386	868
(20295,1,29,0)	0	0	786	980
(20295,1,71,0)	0	0	627	908
(20295,1,90,0)	0	0	620	959
(20295,1,110,0)	0	0	974	969
(20295,1,138,0)	0	0	745	961
(20295,1,143,0)	0	0	825	907
(20295,1,203,0)	0	0	815	992
(20296,0,43,0)	0	0	503	878
(20296,0,56,0)	0	0	443	872
(20296,0,87,0)	0	0	787	808
(20296,0,91,0)	0	0	702	846
(20296,0,163,0)	0	0	761	918
(20296,1,12,0)	0	0	803	957
(20296,1,26,0)	0	0	928	960
(20296,1,52,0)	0	0	644	929
(20296,1,53,0)	0	0	750	957
(20296,1,65,0)	0	0	898	959
(20296,1,83,0)	0	0	841	920
(20296,1,88,0)	0	0	822	800
(20296,1,91,0)	0	0	730	903
(20296,1,149,0)	0	0	628	957
(20297,0,121,0)	0	0	562	867
(20297,1,21,0)	0	0	943	1000
(20297,1,48,0)	0	0	827	983
(20297,1,59,0)	0	0	795	853
(20297,1,63,0)	0	0	803	939
(20297,1,95,0)	0	0	685	805
(20297,1,152,0)	0	0	652	964
(20297,1,175,0)	0	0	617	901
(20298,0,129,0)	0	0	982	996
(20298,1,26,0)	0	0	859	972
(20298,1,96,0)	0	0	889	964
(20298,1,123,0)	0	0	949	950
(20298,1,141,0)	0	0	562	959
(20298,1,163,0)	0	0	889	960
(20299,0,6,0)	0	0	578	923
(20299,0,146,0)	0	0	997	967
(20299,0,147,0)	0	0	931	976
(20299,1,40,0)	0	0	997	970
(20299,1,64,0)	0	0	855	968
(20299,1,76,0)	0	0	715	958
(20299,1,84,0)	0	0	645	921
(20300,0,37,0)	0	0	613	842
(20300,0,175,0)	0	0	825	922
(20300,1,21,0)	0	0	468	893
(20300,1,31,0)	0	0	907	998
(20300,1,163,0)	0	0	472	864
(20300,1,179,0)	0	0	764	928
(20300,1,204,0)	0	0	823	962
(20300,1,209,0)	0	0	760	931
(20301,0,55,0)	0	0	874	987
(20301,0,148,0)	0	0	943	933
(20301,1,5,0)	0	0	943	973
(20301,1,12,0)	0	0	386	867
(20301,1,14,0)	0	0	384	785
(20301,1,75,0)	0	0	340	842
(20301,1,104,0)	0	0	980	999
(20301,1,173,0)	0	0	481	758
(20302,1,9,0)	0	0	677	950
(20302,1,94,0)	0	0	576	859
(20302,1,136,0)	0	0	940	943
(20302,1,184,0)	0	0	644	936
(20303,0,99,0)	0	0	683	905
(20303,1,12,0)	0	0	902	988
(20303,1,56,0)	0	0	771	976
(20303,1,62,0)	0	0	903	983
(20303,1,69,0)	0	0	517	860
(20303,1,138,0)	0	0	575	890
(20303,1,151,0)	0	0	809	965
(20304,0,21,0)	0	0	718	992
(20304,1,18,0)	0	0	694	929
(20304,1,77,0)	0	0	667	931
(20304,1,129,0)	0	0	828	901
(20304,1,168,0)	0	0	901	987
(20304,1,177,0)	0	0	743	956
(20304,1,180,0)	0	0	30	0
(20305,0,49,0)	0	0	338	820
(20305,0,96,0)	0	0	659	962
(20305,0,189,0)	0	0	576	883
(20305,1,33,0)	0	0	817	912
(20305,1,78,0)	0	0	884	971
(20305,1,170,0)	0	0	770	847
(20305,1,204,0)	0	0	1000	983
(20305,1,209,0)	0	0	954	965
(20306,0,53,0)	0	0	714	938
(20306,1,20,0)	0	0	391	872
(20306,1,41,0)	0	0	774	980
(20306,1,160,0)	0	0	660	898
(20306,1,166,0)	0	0	607	801
(20307,0,2,0)	0	0	792	968
(20307,0,70,0)	0	0	535	927
(20307,0,152,0)	0	0	695	817
(20307,1,28,0)	0	0	744	981
(20307,1,53,0)	0	0	541	932
(20307,1,105,0)	0	0	939	999
(20307,1,110,0)	0	0	867	899
(20307,1,119,0)	0	0	740	923
(20308,0,70,0)	0	0	416	747
(20308,0,108,0)	0	0	560	846
(20308,0,125,0)	0	0	895	987
(20308,0,188,0)	0	0	885	790
(20308,1,64,0)	0	0	524	865
(20308,1,83,0)	0	0	620	955
(20308,1,92,0)	0	0	909	980
(20308,1,112,0)	0	0	953	999
(20309,0,34,0)	0	0	759	927
(20309,1,2,0)	0	0	795	870
(20309,1,18,0)	0	0	447	899
(20309,1,54,0)	0	0	782	886
(20309,1,80,0)	0	0	828	990
(20309,1,85,0)	0	0	816	948
(20309,1,132,0)	0	0	782	974
(20309,1,141,0)	0	0	947	971
(20309,1,183,0)	0	0	840	878
(20310,0,47,0)	0	0	555	855
(20310,0,71,0)	0	0	382	920
(20310,1,44,0)	0	0	737	878
(20310,1,90,0)	0	0	511	878
(20310,1,163,0)	0	0	599	941
(20311,0,132,0)	0	0	191	632
(20311,1,9,0)	0	0	644	939
(20311,1,37,0)	0	0	814	990
(20311,1,58,0)	0	0	450	796
(20311,1,77,0)	0	0	867	997
(20311,1,104,0)	0	0	777	909
(20311,1,121,0)	0	0	900	977
(20311,1,162,0)	0	0	782	894
(20312,0,15,0)	0	0	562	798
(20312,0,134,0)	0	0	435	924
(20312,0,162,0)	0	0	619	931
(20312,1,15,0)	0	0	932	993
(20312,1,99,0)	0	0	777	985
(20312,1,106,0)	0	0	761	957
(20312,1,110,0)	0	0	340	956
(20312,1,159,0)	0	0	680	928
(20313,1,1,0)	0	0	928	972
(20313,1,41,0)	0	0	666	930
(20313,1,84,0)	0	0	832	999
(20313,1,87,0)	0	0	743	859
(20313,1,89,0)	0	0	889	949
(20313,1,94,0)	0	0	793	982
(20313,1,107,0)	0	0	871	908
(20313,1,141,0)	0	0	1000	999
(20313,1,144,0)	0	0	994	1000
(20313,1,200,0)	0	0	981	1000
(20314,0,40,0)	0	0	880	975
(20314,1,15,0)	0	0	565	867
(20314,1,40,0)	0	0	664	963
(20314,1,130,0)	0	0	453	770
(20315,0,82,0)	0	0	680	902
(20315,0,91,0)	0	0	599	874
(20315,1,15,0)	0	0	737	941
(20315,1,86,0)	0	0	866	959
(20315,1,121,0)	0	0	844	959
(20315,1,124,0)	0	0	901	988
(20315,1,131,0)	0	0	938	1000
(20315,1,173,0)	0	0	424	760
(20315,1,175,0)	0	0	959	966
(20316,0,29,0)	0	0	593	955
(20316,0,32,0)	0	0	579	913
(20316,0,34,0)	0	0	842	931
(20316,0,85,0)	0	0	590	952
(20316,0,126,0)	0	0	405	907
(20316,0,160,0)	0	0	958	991
(20316,1,122,0)	0	0	772	939
(20316,1,169,0)	0	0	826	855
(20317,0,6,0)	0	0	507	888
(20317,0,129,0)	0	0	853	963
(20317,0,133,0)	0	0	888	965
(20317,0,195,0)	0	0	536	754
(20317,1,44,0)	0	0	613	869
(20317,1,48,0)	0	0	625	949
(20317,1,99,0)	0	0	1000	995
(20317,1,102,0)	0	0	812	965
(20317,1,116,0)	0	0	925	1000
(20317,1,119,0)	0	0	737	948
(20317,1,130,0)	0	0	837	986
(20317,1,147,0)	0	0	692	908
(20317,1,182,0)	0	0	654	957
(20318,0,40,0)	0	0	493	864
(20318,0,136,0)	0	0	890	985
(20318,1,24,0)	0	0	560	881
(20318,1,79,0)	0	0	999	1000
(20318,1,135,0)	0	0	551	880
(20318,1,136,0)	0	0	485	927
(20318,1,169,0)	0	0	911	994
(20319,0,129,0)	0	0	567	932
(20319,0,172,0)	0	0	985	995
(20319,1,38,0)	0	0	520	976
(20319,1,53,0)	0	0	694	898
(20319,1,63,0)	0	0	713	949
(20319,1,74,0)	0	0	725	978
(20319,1,85,0)	0	0	811	958
(20319,1,162,0)	0	0	595	887
(20319,1,182,0)	0	0	913	993
(20319,1,205,0)	0	0	500	850
(20320,0,21,0)	0	0	835	983
(20320,0,48,0)	0	0	585	973
(20320,1,33,0)	0	0	663	883
(20320,1,59,0)	0	0	999	1000
(20320,1,61,0)	0	0	902	1000
(20320,1,65,0)	0	0	844	971
(20320,1,84,0)	0	0	219	527
(20320,1,100,0)	0	0	797	937
(20320,1,110,0)	0	0	815	973
(20320,1,136,0)	0	0	836	927
(20320,1,141,0)	0	0	760	982
(20321,0,33,0)	0	0	542	761
(20321,0,46,0)	0	0	823	904
(20321,0,54,0)	0	0	909	974
(20321,0,138,0)	0	0	620	948
(20321,1,189,0)	0	0	451	915
(20322,0,78,0)	0	0	353	871
(20322,0,165,0)	0	0	261	709
(20322,0,172,0)	0	0	876	997
(20322,1,76,0)	0	0	895	955
(20322,1,88,0)	0	0	881	888
(20323,0,149,0)	0	0	228	665
(20323,1,34,0)	0	0	897	949
(20323,1,55,0)	0	0	603	930
(20323,1,78,0)	0	0	777	914
(20323,1,179,0)	0	0	630	950
(20324,0,65,0)	0	0	851	934
(20324,0,101,0)	0	0	396	885
(20324,1,4,0)	0	0	535	857
(20324,1,24,0)	0	0	595	965
(20324,1,103,0)	0	0	982	1000
(20324,1,113,0)	0	0	908	986
(20324,1,122,0)	0	0	404	889
(20324,1,133,0)	0	0	810	951
(20324,1,149,0)	0	0	783	930
(20324,1,168,0)	0	0	777	958
(20324,1,169,0)	0	0	297	870
(20325,0,55,0)	0	0	461	827
(20325,0,128,0)	0	0	423	918
(20325,0,139,0)	0	0	792	966
(20325,0,165,0)	0	0	793	945
(20325,1,14,0)	0	0	626	954
(20325,1,64,0)	0	0	814	926
(20325,1,69,0)	0	0	953	996
(20325,1,72,0)	0	0	924	934
(20325,1,174,0)	0	0	720	914
(20326,1,14,0)	0	0	855	964
(20326,1,33,0)	0	0	805	928
(20326,1,72,0)	0	0	446	810
(20326,1,86,0)	0	0	980	984
(20326,1,116,0)	0	0	359	867
(20326,1,121,0)	0	0	850	998
(20326,1,128,0)	0	0	702	910
(20326,1,132,0)	0	0	845	922
(20326,1,141,0)	0	0	415	929
(20327,0,8,0)	0	0	920	1000
(20327,0,30,0)	0	0	866	996
(20327,0,50,0)	0	0	1000	989
(20327,0,84,0)	0	0	597	881
(20327,1,30,0)	0	0	587	828
(20327,1,45,0)	0	0	402	800
(20327,1,73,0)	0	0	610	818
(20327,1,144,0)	0	0	755	965
(20327,1,173,0)	0	0	600	860
(20328,0,76,0)	0	0	554	966
(20328,1,7,0)	0	0	357	850
(20328,1,13,0)	0	0	800	970
(20328,1,19,0)	0	0	914	959
(20328,1,110,0)	0	0	695	943
(20328,1,164,0)	0	0	839	980
(20328,1,172,0)	0	0	505	922
(20328,1,184,0)	0	0	712	913
(20329,0,41,0)	0	0	769	999
(20329,0,77,0)	0	0	512	894
(20329,0,92,0)	0	0	569	867
(20329,1,10,0)	0	0	763	978
(20329,1,19,0)	0	0	827	962
(20329,1,103,0)	0	0	5	93
(20329,1,108,0)	0	0	670	944
(20329,1,122,0)	0	0	376	900
(20329,1,132,0)	0	0	442	832
(20329,1,138,0)	0	0	625	951
(20329,1,192,0)	0	0	471	810
(20330,0,121,0)	0	0	973	940
(20330,0,123,0)	0	0	827	965
(20330,0,147,0)	0	0	649	902
(20330,1,7,0)	0	0	739	840
(20330,1,68,0)	0	0	880	990
(20330,1,72,0)	0	0	818	963
(20330,1,78,0)	0	0	678	960
(20330,1,112,0)	0	0	666	942
(20331,0,19,0)	0	0	578	925
(20331,0,93,0)	0	0	688	962
(20331,0,133,0)	0	0	867	988
(20331,0,168,0)	0	0	646	898
(20331,0,171,0)	0	0	585	897
(20331,0,197,0)	0	0	437	804
(20331,1,17,0)	0	0	834	893
